case_key,case_name_abbreviation,dissent_ind,majority_word_count,dissent_word_count,officialcitation,issuearea,majvotes,minvotes,kldiv_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,year,voyage3_cosdist,voyagelaw_cosdist,z_kldiv,z_d2v,z_voyage3,composite_div
a1001,Yellin v. United States,1,4274,8230,374 U.S. 109,3,5,4,1.5961785,.1632548,.046317499,.0032529235,1963,.18170869,.10167748,-.044460591,-.86124742,-.95216519,-.61929107
a1003,United States v. Singer Manufacturing Co.,1,7326,635,374 U.S. 174,8,8,1,2.4651964,.29717046,.16926193,.031336784,1963,.34178793,.27874559,.60749835,.15859702,.28317577,.34975705
a1004,School District v. Schempp,1,6943,3802,374 U.S. 203,3,8,1,.94323164,.1468313,.038890362,.0055744052,1963,.23580426,.16196805,-.53431767,-.98632175,-.53470647,-.68511528
a1005,United States v. Philadelphia National Bank,1,17951,7887,374 U.S. 321,8,6,2,1.3315011,.089454196,.03659546,.0042919517,1963,.20753205,.92276424,-.24302819,-1.4232812,-.75288481,-.80639803
a1006,Sherbert v. Verner,1,3940,1816,374 U.S. 398,3,7,2,2.6972497,.20446706,.050373141,.0082505941,1963,.26577246,.14949149,.78159052,-.54739243,-.30344009,-.023080667
a1008,Rosenberg v. Fleuti,1,4622,1678,374 U.S. 449,2,5,4,1.0861139,.18316209,.0606241,.0042680502,1963,.24377292,.18266481,-.42712381,-.70964193,-.47321185,-.53665918
a1009,Gastelum-Quinones v. Kennedy,1,3513,1861,374 U.S. 469,2,5,4,.87715024,.1589625,.03760105,.0068665743,1963,.19368505,.16040462,-.5838936,-.89393568,-.85974288,-.77919072
a101,Nieves v. Bartlett,1,6001,4290,139 S. Ct. 1715,3,8,1,.88345987,.31203389,.0622719,.0081291199,2019,.23265952,.16242349,-.57915998,.27179056,-.55897462,-.28878134
a1012,Tipton v. Socony Mobil Oil Co.,1,884,226,375 U.S. 34,8,8,1,2.9154818,.48141849,.2113061,.027919769,1963,.39977533,.4098084,.94531375,1.5617512,.73066789,1.0792443
a1013,Bartone v. United States,1,609,583,375 U.S. 52,1,6,3,1.5581957,.32566881,.18472169,.022661567,1963,.36414462,.40086609,-.072956257,.37562829,.45570368,.25279191
a1014,Gotthilf v. Sills,1,380,762,375 U.S. 79,9,6,3,1.5143269,.45586559,.18494797,.026367366,1963,.30753708,.26544625,-.10586771,1.3671513,.018859906,.42671448
a1015,Fahy v. Connecticut,1,1934,1024,375 U.S. 85,1,5,4,1.7817545,.27454579,.1229837,.018539429,1963,.29697782,.22445154,.094763137,-.013702798,-.062626533,.0061446023
a1019,Corey v. United States,1,2321,1025,375 U.S. 169,1,8,1,.54412061,.2016014,.057410602,.0098609924,1963,.24843431,.2079972,-.83374077,-.56921607,-.43723968,-.61339885
a1020,"Securities & Exchange Commission v. Capital Gains Research Bureau, Inc.",1,6592,1724,375 U.S. 180,8,7,1,.78334564,.25941586,.044764761,.0071331859,1963,.26627195,.18399304,-.65426815,-.12892583,-.29958555,-.36092651
a1021,Dennis v. Denver & Rio Grande Western Railroad,1,754,604,375 U.S. 208,8,7,2,1.2320646,.3242377,.13884103,.023202121,1963,.41529101,.28659487,-.31762797,.36472958,.85040337,.29916832
a1021,Dennis v. Denver & Rio Grande Western Railroad,2,754,221,375 U.S. 208,8,7,2,2.0347636,.3828336,.2013265,.055416346,1963,.57806498,.44142109,.28457689,.8109709,2.1065397,1.0673625
a1023,Meyer v. United States,1,2000,2545,375 U.S. 233,12,6,3,1.226234,.14135429,.065774739,.0040763021,1963,.14028424,.14921832,-.32200226,-1.0280323,-1.2718401,-.87395823
a1025,Carey v. Westinghouse Electric Corp.,1,3654,902,375 U.S. 261,7,6,2,.77616489,.29466149,.083690897,.014649987,1964,.28446728,.21044022,-.65965533,.1394898,-.15917109,-.22644554
a1026,Hardy v. United States,1,1624,801,375 U.S. 277,2,8,1,.91954219,.35036671,.10621214,.016600013,1964,.29049182,.27658403,-.55209011,.56371695,-.11267937,-.033684175
